sku,imagen
136-0480,"https://source.unsplash.com/400x400/?Quijada,Cortabulon,Record,24,,924,"
HAX0811250,"https://source.unsplash.com/400x400/?Hacha,De,Mano,Mango,Fibra,De,Vidrio,1250g,Ingco,Hax0811250"
1917830,"https://source.unsplash.com/400x400/?Pintura,Spray,Rust-oleum,340,Gr,Camuflado,Mate,5,Colores,Color,Khaki,Mate"
20009,"https://source.unsplash.com/400x400/?Destornillador,Phillips,Ph,3,X,150,Mm,Imantado,Tolsen,20009"
I120/220,"https://source.unsplash.com/400x400/?Soldadora,Inverter,Electrodo,120a,(1,5-2,5mm),Energy,"
314100,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Rust,Oleum,Stone,Piedra,340g,Colores,Color,Marrón,Claro"
426705,"https://source.unsplash.com/400x400/?Fresa,Widia,Moldurar,Copiador,1,1/4,,"
277-0009,"https://source.unsplash.com/400x400/?Taladro,Percutor,Atornillador,Eléctrico,De,13mm,Makita,Hp1640,760w,+,Accesorio,Con,Caja,De,Cartón,Turquesa"
180716,"https://source.unsplash.com/400x400/?Dado,Terraja,3,Triangulos,3/8,X16c1,Bsw,-,Ferretería,Armhel,"
80-236,"https://source.unsplash.com/400x400/?Llave,Mixta,Stanley,#,22,(stmt80236-840)"
iw1258,"https://source.unsplash.com/400x400/?Mecha,Alta,Velocidad,Hss,Irwin,6,Mm"
